DEGREES       P-TIME       S-TIME
            0            0            0
         0.25       4.7925       8.0338
          0.5        9.585       16.068
         0.75       14.378       24.101
            1        19.17       32.135
         1.25       23.963       40.169
          1.5       28.149       48.203
         1.75       31.588       54.579
            2       35.026       60.749
         2.25       38.464        66.92
          2.5       41.903        73.09
         2.75       45.341        79.26
            3       48.779        85.43
         3.25       52.216       91.599
          3.5       55.654       97.767
         3.75       59.091       103.94
            4       62.528        110.1
         4.25       65.965       116.27
          4.5       69.401       122.43
         4.75       72.837        128.6
            5       76.273       134.76
         5.25       79.709       140.93
          5.5       83.143       147.09
         5.75       86.577       153.25
            6       90.011       159.41
         6.25       93.445       165.57
          6.5       96.879       171.73
         6.75       100.31       177.89
            7       103.75       184.04
         7.25       107.18       190.19
          7.5       110.61       196.34
         7.75       114.04       202.49
            8       117.47       208.64
         8.25        120.9       214.79
          8.5       124.33       220.94
         8.75       127.76       227.09
            9       131.19       233.24
         9.25       134.62       239.38
          9.5       138.04       245.52
         9.75       141.47       251.65
           10       144.89       257.79
        10.25       148.32       263.93
         10.5       151.74       270.06
        10.75       155.16        276.2
           11       158.58       282.33
        11.25       162.01       288.45
         11.5       165.43       294.57
        11.75       168.85        300.7
           12       172.27       306.82
        12.25       175.69       312.94
         12.5        179.1       319.06
        12.75       182.52       325.17
           13       185.94       331.28
        13.25       189.35       337.39
         13.5       192.77        343.5
        13.75       196.18        349.6
           14       199.59        355.7
        14.25          203        361.8
         14.5       206.41        367.9
        14.75       209.82       373.99
           15       213.23       380.08
        15.25       216.55       386.16
         15.5       219.84       392.24
        15.75        223.1       398.32
           16       226.36       404.41
        16.25        229.6       410.48
         16.5       232.79       416.55
        16.75       235.96       422.61
           17       239.12       428.68
        17.25       242.25       434.74
         17.5       245.38        440.8
        17.75       248.48       446.85
           18       251.57       452.91
        18.25       254.65       458.96
         18.5       257.65       465.01
        18.75        260.4       471.05
           19       263.14       477.09
        19.25       265.89       483.13
         19.5       268.63       489.17
        19.75       271.36       494.76
           20       274.09       499.76
        20.25       276.81       504.76
         20.5       279.53       509.74
        20.75       282.24       514.69
           21       284.94       519.65
        21.25       287.63       524.58
         21.5       290.33        529.5
        21.75       293.02        534.4
           22       295.69       539.28
        22.25       298.35       544.15
         22.5       301.01          549
        22.75       303.67       553.79
           23       306.33       557.87
        23.25       308.97       561.95
         23.5       311.59       566.02
        23.75          314       570.07
           24       316.28       574.11
        24.25       318.57       578.14
         24.5       320.86       582.18
        24.75       323.14       586.22
           25       325.41       590.21
        25.25       327.68       594.21
         25.5       329.95        598.2
        25.75       332.22       602.18
           26       334.49       606.14
        26.25       336.76       610.09
         26.5       339.01       614.03
        26.75       341.26       617.97
           27       343.51       621.91
        27.25       345.77       625.85
         27.5       348.02       629.79
        27.75       350.26       633.73
           28       352.49       637.67
        28.25       354.72       641.61
         28.5       356.95       645.55
        28.75       359.19       649.48
           29       361.41       653.41
        29.25       363.62       657.35
         29.5       365.83       661.27
        29.75       368.04        665.2
           30       370.25       669.13
        30.25       372.46       673.05
         30.5       374.67       676.97
        30.75       376.88       680.89
           31       379.09        684.8
        31.25       381.29        688.7
         31.5        383.5       692.61
        31.75       385.71       696.52
           32        387.9       700.43
        32.25       390.09       704.33
         32.5       392.29       708.22
        32.75       394.48       712.12
           33       396.67       716.01
        33.25       398.86       719.89
         33.5       401.04       723.76
        33.75       403.21       727.63
           34       405.38        731.5
        34.25       407.54       735.37
         34.5       409.71       739.25
        34.75       411.87        743.1
           35       414.04       746.94
        35.25        416.2       750.78
         35.5       418.35       754.63
        35.75        420.5       758.47
           36       422.64       762.31
        36.25       424.78       766.13
         36.5       426.91       769.94
        36.75       429.04       773.76
           37       431.17       777.58
        37.25        433.3       781.39
         37.5       435.43        785.2
        37.75       437.54       788.98
           38       439.66       792.77
        38.25       441.76       796.56
         38.5       443.86       800.35
        38.75       445.96       804.12
           39       448.05       807.88
        39.25       450.15       811.64
         39.5       452.25        815.4
        39.75       454.33       819.16
           40       456.41       822.91
        40.25       458.49       826.64
         40.5       460.56       830.38
        40.75       462.62       834.11
           41       464.69       837.84
        41.25       466.74       841.55
         41.5        468.8       845.26
        41.75       470.85       848.96
           42       472.89       852.67
        42.25       474.93       856.37
         42.5       476.97       860.05
        42.75          479       863.72
           43       481.03        867.4
        43.25       483.05       871.08
         43.5       485.07       874.73
        43.75       487.09       878.39
           44        489.1       882.04
        44.25        491.1       885.69
         44.5        493.1       889.33
        44.75        495.1       892.95
           45       497.09       896.58
        45.25       499.08        900.2
         45.5       501.06       903.81
        45.75       503.04       907.41
           46       505.01       911.01
        46.25       506.98       914.61
         46.5       508.95        918.2
        46.75       510.91       921.77
           47       512.87       925.35
        47.25       514.82       928.92
         47.5       516.77       932.48
        47.75       518.71       936.03
           48       520.64       939.58
        48.25       522.58       943.12
         48.5       524.51       946.66
        48.75       526.43       950.19
           49       528.35        953.7
        49.25       530.27       957.22
         49.5       532.18       960.72
        49.75       534.08       964.21
           50       535.99       967.71
        50.25       537.89        971.2
         50.5       539.78       974.67
        50.75       541.67       978.15
           51       543.55       981.62
        51.25       545.43       985.07
         51.5       547.31       988.52
        51.75       549.18       991.97
           52       551.04       995.42
        52.25       552.89       998.85
         52.5       554.74       1002.3
        52.75        556.6       1005.7
           53       558.45       1009.1
        53.25        560.3       1012.5
         53.5       562.14       1015.9
        53.75       563.97       1019.3
           54        565.8       1022.7
        54.25       567.62       1026.1
         54.5       569.44       1029.4
        54.75       571.25       1032.8
           55       573.06       1036.1
        55.25       574.86       1039.5
         55.5       576.66       1042.9
        55.75       578.47       1046.2
           56       580.27       1049.5
        56.25       582.05       1052.8
         56.5       583.84       1056.2
        56.75       585.61       1059.5
           57       587.39       1062.8
        57.25       589.16       1066.1
         57.5       590.91       1069.4
        57.75       592.67       1072.6
           58       594.43       1075.9
        58.25       596.18       1079.2
         58.5       597.93       1082.4
        58.75       599.67       1085.7
           59       601.41       1088.9
        59.25       603.14       1092.2
         59.5       604.87       1095.4
        59.75        606.6       1098.6
           60       608.31       1101.9
        60.25       610.02       1105.1
         60.5       611.73       1108.3
        60.75       613.44       1111.5
           61       615.15       1114.7
        61.25       616.85       1117.9
         61.5       618.54         1121
        61.75       620.22       1124.2
           62       621.91       1127.4
        62.25       623.58       1130.5
         62.5       625.25       1133.7
        62.75       626.92       1136.8
           63       628.58         1140
        63.25       630.25       1143.1
         63.5       631.91       1146.2
        63.75       633.56       1149.3
           64       635.21       1152.4
        64.25       636.85       1155.5
         64.5       638.49       1158.6
        64.75       640.12       1161.7
           65       641.74       1164.8
        65.25       643.37       1167.9
         65.5       644.99       1170.9
        65.75       646.61         1174
           66       648.22         1177
        66.25       649.83       1180.1
         66.5       651.43       1183.1
        66.75       653.03       1186.1
           67       654.61       1189.2
        67.25        656.2       1192.2
         67.5       657.78       1195.2
        67.75       659.36       1198.2
           68       660.94       1201.2
        68.25       662.51       1204.2
         68.5       664.07       1207.1
        68.75       665.63       1210.1
           69        667.2       1213.1
        69.25       668.74         1216
         69.5       670.27         1219
        69.75       671.81       1221.9
           70       673.34       1224.9
        70.25       674.88       1227.8
         70.5       676.41       1230.7
        70.75       677.95       1233.6
           71       679.48       1236.5
        71.25          681       1239.4
         71.5        682.5       1242.3
        71.75       684.01       1245.2
           72       685.51       1248.1
        72.25       687.01         1251
         72.5       688.51       1253.8
        72.75          690       1256.7
           73       691.48       1259.5
        73.25       692.96       1262.4
         73.5       694.44       1265.2
        73.75       695.91         1268
           74       697.37       1270.8
        74.25       698.82       1273.7
         74.5       700.28       1276.5
        74.75       701.74       1279.3
           75       703.19         1282
        75.25       704.63       1284.8
         75.5       706.06       1287.6
        75.75       707.49       1290.4
           76       708.92       1293.1
        76.25       710.35       1295.9
         76.5       711.76       1298.6
        76.75       713.18       1301.4
           77       714.59       1304.1
        77.25          716       1306.8
         77.5        717.4       1309.5
        77.75       718.79       1312.2
           78       720.18       1314.9
        78.25       721.57       1317.6
         78.5       722.96       1320.3
        78.75       724.34         1323
           79       725.71       1325.7
        79.25       727.08       1328.3
         79.5       728.44         1331
        79.75        729.8       1333.6
           80       731.16       1336.3
        80.25        732.5       1338.9
         80.5       733.85       1341.5
        80.75       735.19       1344.1
           81       736.53       1346.7
        81.25       737.86       1349.4
         81.5       739.18       1351.9
        81.75        740.5       1354.5
           82       741.82       1357.1
        82.25       743.14       1359.7
         82.5       744.44       1362.2
        82.75       745.75       1364.8
           83       747.04       1367.3
        83.25       748.34       1369.9
         83.5       749.63       1372.4
        83.75        750.9       1374.9
           84       752.18       1377.4
        84.25       753.46         1380
         84.5       754.73       1382.4
        84.75       755.99       1384.9
           85       757.25       1387.4
        85.25        758.5       1389.9
         85.5       759.76       1392.3
        85.75          761       1394.8
           86       762.24       1397.3
        86.25       763.47       1399.7
         86.5        764.7       1402.2
        86.75       765.92       1404.6
           87       767.14         1407
        87.25       768.35       1409.4
         87.5       769.57       1411.8
        87.75       770.77       1414.2
           88       771.96       1416.6
        88.25       773.15         1419
         88.5       774.35       1421.4
        88.75       775.54       1423.7
           89       776.72       1426.1
        89.25       777.89       1428.4
         89.5       779.06       1430.8
        89.75       780.23       1433.1
           90       781.39       1435.4
        90.25       782.55       1437.7
         90.5       783.71         1440
        90.75       784.86       1442.3
           91       786.02       1444.6
        91.25       787.18       1446.9
         91.5       788.34       1449.2
        91.75        789.5       1451.4
           92       790.66       1453.7
        92.25       791.82       1455.9
         92.5       792.97       1458.2
        92.75       794.13       1460.4
           93       795.28       1462.6
        93.25       796.44       1464.8
         93.5       797.58         1467
        93.75       798.73       1469.2
           94       799.88       1471.4
        94.25       801.03       1473.6
